ID,Name,Sage ID
488,A Mark Harris Company,
208,Acek Srl,Acek
192,Ad Vitam,Ad Vitam
470,Adobe Productions International,Adobe Productions
14,Adriana Chiesa,Adriana
501,African Film Festival Inc.,African FF
209,Al Dakheel Inc.,Al Dakheel
73,Alameda Films,Alameda Films
153,Alfama Films,Alfama Films
568,Alief SAS,
270,Alliance de Production Cinematographique,APC
18,Alpha Violet,Alpha Violet
341,Altitude Film Sales Ltd.,Altitude Film Sales
342,Ambassador Entertainment Inc.,Ambassador Ent
210,Ambrosia Film Inc.,Ambrosia Film
396,Amjad Abu Alala,
433,Anika Benkov,Anika Benkov
21,Arab Film Distribution,
44,Arcadia,Arcadia
198,"Architects of Denial, LLC",Architects of Denial
22,Arclight Films,ARC L F
89,Arclight Films (Taiwan),
99,ARP SAS,ARP SAS
193,ARRI Media GmbH,Arri Media
276,Article Films,Article Films
475,Arvin Chen,
334,Ash Mayfair,
558,"Ashcroft Flying, LLC","Ashcroft Flying, LLC"
132,Asher Films,Asher Films
190,Asian Shadows International Sales Ltd.,Asian Shadows
347,Associated Television Releasing,Associated TV
143,Atlas Grove Entertainment Inc.,Atlas Grove
200,Atrium Productions KFT,Atrium Prod
338,Atrium Productions via Cercamon,Atrium Prod
116,"Atrix Films (Int'l), Carmichael Films (domestic, out of business)",
176,Attraction Distribution,AttractionDistrib
212,Autlook Filmsales GmbH,Autlook FS
168,"AutoHate, LLC",AutoHate LLC
72,BAC Films Distribution,BAC Film Distrib
96,Bacon Haze Productions,Bacon Haze
23,Bavaria,Bavaria
281,Be For Films,Be For Films SAS
100,Beaufort 9 Films,Beaufort 9
547,Begin Again Films S.L.,Begin Again Films
343,Bending Steel LLC,"Bending Steel, LLC"
574,Bendita Film Sales,
484,Benjamin Bagby,Benjamin Bagby
364,Best Friend Forever,Best Friend Forever
45,Beta Cinema,Beta Film GmbH
570,Between the Rivers Productions LLC,Between the Rivers
203,Big World Pictures,Big World Pictures
499,Biti Aptan Baedi,Biti Aptan Baedi
389,"Black Horse Productions, Inc.",Black Horse Prod.
164,Blunt Pictures Ltd.,Blunt
497,Bogdan George Apetri,
291,Bombs in Baghdad LLC,
189,Bond360,
386,Boo Junfeng,
