Title,Retail DVD Price,NEW DVD PRICE,Retail DVD UPC,Blu-ray Price,NEW BLU RAY PRICE,Blu-ray UPC
Boiling Point,$19.95,34.95,857692005871,$24.95,39.95,857692005888
Dunkirk,$19.95,34.95,850021115173,$24.95,39.95,850021115180
Ice Cold in Alex,$19.95,34.95,850021115258,$24.95,39.95,850021115241
The Dam Busters,$19.95,34.95,850003924809,$24.95,39.95,850021115265
The Belles of St. Trinian's,n/a,,n/a,$24.95,39.95,850021115128
All About Lily Chou-Chou,$19.95,34.95,859686006918,$29.95,39.95,859686006925
Antonia's Line,$19.95,34.95,857692005802,$29.95,39.95,857692005819
Bent,$19.95,34.95,859686006994,$29.95,39.95,859686006987
Caro diario,$19.95,34.95,850003924892,$29.95,39.95,850003924908
Edward II,$19.95,34.95,859686006635,$29.95,39.95,859686006642
Farinelli,$19.95,34.95,850003924120,$29.95,39.95,850003924137
Francesco,$19.95,34.95,857692005338,$29.95,39.95,857692005345
"Frantz Fanon: Black Skin, White Mask",$19.95,34.95,850003924014,$29.95,39.95,850003924021
Full Moon in Paris,$19.95,34.95,857692005352,$29.95,39.95,857692005369
Gregory's Girl,$19.95,34.95,850003924694,$29.95,39.95,850003924410
Hana-bi (Fireworks),$19.95,34.95,859686006277,$29.95,39.95,859686006284
Heroes Shed No Tears,$19.95,34.95,850003924236,$29.95,39.95,850003924243
I Am A Dancer,$19.95,34.95,850003924946,$29.95,39.95,850003924588
Kamikaze 89,$19.95,34.95,857692005918,$29.95,39.95,857692005925
L'Important C'est d'Aimer,$19.95,34.95,850003924786,$29.95,39.95,850003924601
L'innocente,$19.95,34.95,850003924847,$29.95,39.95,850003924458
Marquise,$19.95,34.95,850003924045,$29.95,39.95,850003924052
Midaq Alley,$19.95,34.95,859686006772,$29.95,39.95,859686006789
Mr. Topaze,$19.95,34.95,850003924960,$29.95,39.95,850003924687
Passport to Pimlico,$19.95,34.95,850003924724,$29.95,39.95,850003924489
Pelle the Conqueror,$19.95,34.95,859686006147,$29.95,39.95,859686006154
Scarlet Diva,$19.95,34.95,859686006680,$29.95,39.95,859686006697
Shanghai Triad,$19.95,34.95,850003924878,$29.95,39.95,850003924571
The Best Intentions,$19.95,34.95,857692005246,$29.95,39.95,857692005826
The Killing Floor,$19.95,34.95,850003924953,$29.95,39.95,850003924625
The Mad Adventures of 'Rabbi' Jacob,$19.95,34.95,850003924106,$29.95,39.95,850003924113
The Marquise of O...,$19.95,34.95,857692005376,$29.95,39.95,857692005383
The Pillow Book,$19.95,34.95,857692005260,$29.95,39.95,857692005253
The Quiet Earth,$19.95,34.95,857692005932,$29.95,39.95,857692005949
The Tall Blond Man With One Black Shoe,$19.95,34.95,857692005277,$29.95,39.95,857692005284
The Titfield Thunderbolt,$19.95,34.95,850003924717,$29.95,39.95,850003924496
Time to Die,$19.95,34.95,859686006253,$29.95,39.95,859686006260
"Ugly, Dirty and Bad",$19.95,34.95,857692005567,$29.95,39.95,857692005833
Violent Cop,$19.95,34.95,857692005895,$29.95,39.95,857692005901
After The Storm,$24.95,34.95,859686006185,$29.95,39.95,859686006192
Amour Fou,$24.95,34.95,857692005185,$29.95,39.95,857692005390
Einstein's Universe,$24.95,34.95,896137001009,$29.95,39.95,896137001320
Forgetting the Girl,$24.95,34.95,616892186762,$29.95,39.95,616892186717
Moebius,$24.95,29.95,616892188667,$29.95,39.95,857692005109
Oh Lucy!,$24.95,29.95,859686006543,$29.95,39.95,859686006727
Afterimage,n/a,29.95,n/a,$29.95,39.95,859686006215
Corpus Christi,$24.95,29.95,850003924670,$34.95,39.95,850003924823
Outrage Coda,$24.95,29.95,859686006802,$34.95,39.95,859686006819
Theeb,$24.95,29.95,857692005444,$34.95,39.95,857692005796
Theory of Obscurity: A Film About the Residents,$24.95,29.95,857692005574,$34.95,39.95,857692005581
The Third Murder,$24.95,29.95,859686006765,$34.95,39.95,859686006932
The Wild Goose Lake,$24.95,29.95,850003924649,$34.95,39.95,850003924830
Wheel of Fortune and Fantasy,$24.95,29.95,850021115432,$34.95,39.95,850021115579
"All the Sins of Sodom, Vibrations Double Feature",$29.95,34.95,612385210594,$39.95,44.95,612385210495
Center Stage,$29.95,34.95,850021115296,$39.95,$39.95,850021115289
César et Rosalie,$29.95,34.95,,$39.95,$39.95,
Deep Blues,$29.95,34.95,850021115548,$39.95,$39.95,850021115562
Dona Flor and Her Two Husbands,$29.95,34.95,850021115517,$39.95,$39.95,850003924656
Les Choses de la Vie,$29.95,34.95,,$39.95,$39.95,
Once Were Warriors,$29.95,34.95,857692005857,$39.95,$39.95,857692005864
Pushing Hands,$29.95,34.95,850021115630,$39.95,$39.95,850021115623
Raining in the Mountain,$29.95,34.95,850003924977,$39.95,$39.95,850003924663
Serie Noire,$29.95,34.95,850003924731,$39.95,$39.95,850003924557
The Fate of Lee Khan,$29.95,34.95,850003924212,$39.95,$39.95,850003924229
The Great Silence,$29.95,34.95,859686006604,$39.95,$39.95,859686006611
The Reflecting Skin,$29.95,34.95,850003924281,$39.95,$39.95,850003924274
"Vampire Ecstasy, Sin You Sinners Double Feature",$29.95,34.95,612385210099,$39.95,44.95,612385210198
Vive L'Amour,$29.95,34.95,850021115685,$39.95,$39.95,850021115678
"Confessions of a Young American Housewife, Sin in the Suburbs Double Feature",n/a,,n/a,$39.95,44.95,612385210693
"Two Films by Claude Sautet, featuring Romy Schneider",$34.95,39.95,850003924779,$44.95,49.95,850003924595
Whisky Galore! & The Maggie: Two Films by Alexander Mackendrick,$34.95,39.95,850003924700,$44.95,49.95,850003924519
Elena Ferrante on Film,$34.95,39.95,859686006864,$49.95,54.95,859686006871
Fritz Lang's Indian Epic,$39.95,44.95,850003924366,$49.95,54.95,850003924373
TKO Collection - 3 Films by Takeshi Kitano,$44.95,49.95,859686006949,$64.95,69.95,859686006956
Ealing Studios Comedy Collection,$39.95,44.95,850021115043,$69.95,74.95,850021115036
